N,mayor_a_menor,menor_a_mayor,randomizada,kahan,referencia_N_sobre_N_mas_1,error_mayor_a_menor,error_menor_a_mayor,error_randomizada,error_kahan,semilla_barrido_aleatorio
270,0.9963099630996306,0.9963099630996309,0.9963099630996306,0.9963099630996309,0.996309963099631,4.457339847013591e-16,1.1143349617533977e-16,4.457339847013591e-16,1.1143349617533977e-16,20260912
280,0.9964412811387897,0.9964412811387899,0.9964412811387898,0.99644128113879,0.99644128113879,3.342564320567882e-16,1.1141881068559607e-16,2.2283762137119213e-16,0.0,20260912
290,0.9965635738831613,0.9965635738831614,0.9965635738831613,0.9965635738831615,0.9965635738831615,2.228102759764969e-16,1.1140513798824846e-16,2.228102759764969e-16,0.0,20260912
300,0.9966777408637874,0.9966777408637874,0.9966777408637874,0.9966777408637874,0.9966777408637874,0.0,0.0,0.0,0.0,20260912
310,0.9967845659163985,0.9967845659163986,0.9967845659163986,0.9967845659163987,0.9967845659163987,2.227608778441443e-16,1.1138043892207215e-16,1.1138043892207215e-16,0.0,20260912
320,0.996884735202492,0.9968847352024922,0.9968847352024919,0.9968847352024922,0.9968847352024922,2.2273849431542204e-16,0.0,3.3410774147313304e-16,0.0,20260912
330,0.9969788519637461,0.9969788519637461,0.9969788519637466,0.9969788519637462,0.9969788519637462,1.1135873368209902e-16,1.1135873368209902e-16,3.3407620104629707e-16,0.0,20260912
340,0.9970674486803519,0.9970674486803519,0.9970674486803519,0.9970674486803519,0.9970674486803519,0.0,0.0,0.0,0.0,20260912
350,0.9971509971509971,0.9971509971509971,0.9971509971509978,0.9971509971509971,0.9971509971509972,1.1133950904098e-16,1.1133950904098e-16,5.566975452048999e-16,1.1133950904098e-16,20260912
360,0.9972299168975068,0.9972299168975068,0.997229916897507,0.997229916897507,0.997229916897507,1.1133069774713375e-16,1.1133069774713375e-16,0.0,0.0,20260912
370,0.9973045822102427,0.9973045822102425,0.9973045822102424,0.9973045822102425,0.9973045822102425,1.1132236273944137e-16,0.0,1.1132236273944137e-16,0.0,20260912
380,0.9973753280839897,0.9973753280839894,0.9973753280839894,0.9973753280839894,0.9973753280839895,1.1131446641636437e-16,1.1131446641636437e-16,1.1131446641636437e-16,1.1131446641636437e-16,20260912
390,0.9974424552429668,0.9974424552429667,0.9974424552429668,0.9974424552429667,0.9974424552429667,1.1130697503293236e-16,0.0,1.1130697503293236e-16,0.0,20260912
400,0.9975062344139652,0.997506234413965,0.9975062344139647,0.997506234413965,0.9975062344139651,1.1129985821867194e-16,1.1129985821867194e-16,4.451994328746877e-16,1.1129985821867194e-16,20260912
410,0.9975669099756693,0.9975669099756691,0.9975669099756689,0.9975669099756691,0.9975669099756691,2.2258617713216553e-16,0.0,2.2258617713216553e-16,0.0,20260912
420,0.9976247030878862,0.997624703087886,0.9976247030878863,0.997624703087886,0.997624703087886,2.225732825558052e-16,0.0,3.338599238337078e-16,0.0,20260912
430,0.997679814385151,0.9976798143851507,0.9976798143851509,0.9976798143851507,0.9976798143851509,1.1128049386359128e-16,1.1128049386359128e-16,0.0,1.1128049386359128e-16,20260912
440,0.9977324263038551,0.9977324263038548,0.9977324263038551,0.9977324263038548,0.9977324263038548,2.2254925175440636e-16,0.0,2.2254925175440636e-16,0.0,20260912
450,0.9977827050997784,0.9977827050997782,0.9977827050997782,0.9977827050997783,0.9977827050997783,1.1126901869021012e-16,1.1126901869021012e-16,1.1126901869021012e-16,0.0,20260912
460,0.9978308026030372,0.9978308026030368,0.9978308026030365,0.9978308026030369,0.9978308026030369,3.337909658818677e-16,1.112636552939559e-16,4.450546211758236e-16,0.0,20260912
470,0.9978768577494695,0.9978768577494692,0.9978768577494691,0.9978768577494692,0.9978768577494692,3.3377556038198857e-16,0.0,1.1125852012732952e-16,0.0,20260912
480,0.9979209979209982,0.9979209979209979,0.9979209979209976,0.9979209979209979,0.997920997920998,2.2250719785195843e-16,1.1125359892597922e-16,3.3376079677793765e-16,1.1125359892597922e-16,20260912
490,0.9979633401221997,0.9979633401221996,0.9979633401221998,0.9979633401221996,0.9979633401221996,1.1124887858999018e-16,0.0,2.2249775717998036e-16,0.0,20260912
500,0.998003992015968,0.998003992015968,0.9980039920159676,0.998003992015968,0.998003992015968,0.0,0.0,4.449773882697627e-16,0.0,20260912
510,0.9980430528375734,0.9980430528375733,0.9980430528375733,0.9980430528375733,0.9980430528375733,1.1123999325165784e-16,0.0,0.0,0.0,20260912
520,0.998080614203455,0.9980806142034548,0.9980806142034546,0.9980806142034548,0.9980806142034548,1.1123580689032818e-16,0.0,2.2247161378065637e-16,0.0,20260912
530,0.9981167608286254,0.9981167608286252,0.9981167608286255,0.9981167608286252,0.9981167608286252,2.2246355700979554e-16,0.0,3.3369533551469326e-16,0.0,20260912
540,0.9981515711645104,0.9981515711645101,0.9981515711645109,0.9981515711645101,0.9981515711645101,2.224557986378554e-16,0.0,7.785952952324941e-16,0.0,20260912
