N,b_directa,b_telescopica,b_referencia,error_b_directa,error_b_telescopica,c_racionalizada,c_sustractiva,diferencia_c
1260,0.9992069785884224,0.9992069785884223,0.9992069785884219,5.555520770048898e-16,4.444416616039119e-16,3.7492244766180285,3.749224476619383,1.354472090042691e-12
1270,0.9992132179386316,0.9992132179386315,0.999213217938631,5.555486079915646e-16,4.444388863932516e-16,3.7531755038617645,3.753175503862985,1.220357148667972e-12
1280,0.999219359875098,0.9992193598750979,0.9992193598750976,4.44436154545258e-16,3.333271159089435e-16,3.757095554498251,3.757095554499437,1.1861622795095172e-12
1290,0.9992254066615031,0.999225406661503,0.9992254066615027,3.3332509878862256e-16,2.222167325257484e-16,3.7609851104732006,3.7609851104743024,1.1017853296380054e-12
1300,0.9992313604919294,0.9992313604919293,0.9992313604919293,1.1110770423364068e-16,0.0,3.764844642571654,3.7648446425727338,1.0795808691455022e-12
1310,0.9992372234935164,0.9992372234935163,0.9992372234935164,0.0,1.1110705231172369e-16,3.7686746107599474,3.7686746107607627,8.15347789284715e-13
1320,0.9992429977289933,0.9992429977289932,0.9992429977289932,1.111064102674115e-16,0.0,3.7724754645146796,3.7724754645159004,1.2208012378778221e-12
1330,0.9992486851990986,0.9992486851990985,0.9992486851990984,2.22211555755802e-16,1.11105777877901e-16,3.776247643139274,3.776247643140686,1.4122036873231991e-12
1340,0.999254287844892,0.9992542878448919,0.9992542878448919,1.111051549270399e-16,0.0,3.779991576068681,3.7799915760700964,1.4153123117921496e-12
1350,0.9992598075499631,0.999259807549963,0.999259807549963,1.1110454120508048e-16,0.0,3.7837076831627674,3.7837076831639473,1.1799450305716164e-12
1360,0.9992652461425424,0.9992652461425423,0.9992652461425422,2.2220787301688795e-16,1.1110393650844397e-16,3.787396374988874,3.787396374989748,8.739675649849232e-13
1370,0.9992706053975204,0.9992706053975203,0.9992706053975201,3.333100219184868e-16,2.2220668127899115e-16,3.791058053094029,3.7910580530950932,1.06403774680075e-12
1380,0.9992758870383784,0.9992758870383783,0.999275887038378,4.444110136253163e-16,3.333082602189872e-16,3.7946931102672736,3.79469311026869,1.4162004902118497e-12
1390,0.9992810927390372,0.9992810927390371,0.9992810927390366,5.555108731128032e-16,4.444086984902425e-16,3.798301930792507,3.7983019307936496,1.1426415369442111e-12
1400,0.9992862241256252,0.9992862241256251,0.9992862241256245,6.666096246427904e-16,5.555080205356587e-16,3.8018848906922833,3.801884890693281,9.978684545330907e-13
1410,0.999291282778172,0.9992912827781719,0.9992912827781715,5.555052084206014e-16,4.444041667364811e-16,3.8054423579629297,3.80544235796392,9.903189379656396e-13
1420,0.9992962702322312,0.9992962702322311,0.9992962702322308,4.444019487302388e-16,3.3330146154767907e-16,3.8089746928013604,3.8089746928023027,9.423573033018329e-13
1430,0.9993011879804337,0.9993011879804335,0.9993011879804332,4.443997617450627e-16,3.33299821308797e-16,3.812482247823938,3.8124822478245273,5.893063814710331e-13
1440,0.999306037473977,0.9993060374739768,0.9993060374739764,5.554970064183509e-16,4.443976051346808e-16,3.815965368277705,3.8159653682784205,7.154277170684509e-13
1450,0.999310820124053,0.9993108201240529,0.9993108201240524,6.665932174059733e-16,5.554943478383111e-16,3.819424392244314,3.819424392244991,6.767919558114954e-13
1460,0.9993155373032178,0.9993155373032176,0.999315537303217,7.776884159480462e-16,6.665900708126111e-16,3.8228596508369495,3.8228596508378354,8.859579736508749e-13
1470,0.9993201903467035,0.9993201903467034,0.9993201903467029,5.554891391917025e-16,4.443913113533619e-16,3.826271468390534,3.8262714683911776,6.434852650727407e-13
1480,0.9993247805536805,0.9993247805536803,0.9993247805536799,5.554865876587355e-16,4.443892701269883e-16,3.829660162645483,3.829660162645859,3.7614356074300304e-13
1490,0.9993293091884646,0.9993293091884645,0.9993293091884641,5.554840703745331e-16,4.443872562996265e-16,3.8330260449252824,3.833026044926009,7.265299473147024e-13
